industry,quarter,nominal_production_yoy,production,production_masked,grade,ppi_level,component_id,ppi_item,ppi_index,ppi_index_yoy_pct,ppi_index_complete_quarter,ppi_adjusted_production_yoy,ppi_mapping_grade,ppi_mapping_uncertainty,ppi_index_incomplete_quarter
전기전자,2023Q4,,,1,C,lv3,c1,전기장비,121.436667,5.483974,True,,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2023Q4,,,1,C,lv3,c2,컴퓨터전자및광학기기,95.32,-3.512501,True,,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2023Q4,,,1,B,lv4,,철강1차제품,138.373333,-5.94526,True,,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2024Q1,15.921483512916002,50754.041424,0,A,lv3,,기계및장비,110.023333,1.710218,True,13.97230857662306,A,대분류 직접 대응,-2
기타,2024Q1,1.2897817044465132,78.53250000000001,0,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2024Q1,17.251718590024858,80.165,0,A,lv3,,목재및종이제품,120.876667,-2.013078,True,19.660579388364564,A,대분류 직접 대응,-2
비금속,2024Q1,-4.813588221792308,145.145,0,A,lv3,,비금속광물제품,130.2,3.112378,True,-7.68672624521598,A,대분류 직접 대응,-2
석유화학,2024Q1,-3.235416397861024,843.7024999999999,0,C,lv3,c1,화학제품,123.893333,-0.412625,True,-2.8344872006727972,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2024Q1,-3.235416397861024,843.7024999999999,0,C,lv3,c2,석탄및석유제품,194.253333,-0.23966,True,-3.0029532756815303,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
섬유의복,2024Q1,20.126671358198458,8.535,0,A,lv4,,섬유및의복,116.446667,1.525764,True,18.321366543174666,A,대분류 직접 대응,-2
운송장비,2024Q1,1.4690769019191308,36734.521823363626,0,A,lv3,,운송장비,106.893333,2.081874,True,-0.6002996164440111,A,대분류 직접 대응,-2
음식료,2024Q1,-1.2868471284541272,1541.09,0,A,lv3,,음식료품,121.08,1.336309,True,-2.5885649026886504,A,대분류 직접 대응,-2
전기전자,2024Q1,9.120228384459782,35508.87570375001,0,C,lv3,c1,전기장비,122.383333,4.02618,True,4.896890748520999,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2024Q1,9.120228384459782,35508.87570375001,0,C,lv3,c2,컴퓨터전자및광학기기,96.153333,0.627922,True,8.439314074735439,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2024Q1,-8.790854410582504,14707.2125,0,B,lv4,,철강1차제품,135.306667,-6.950303,True,-1.978030525540031,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2024Q2,17.514539895264726,54973.24675475004,0,A,lv3,,기계및장비,110.35,1.521052,True,15.753863440328363,A,대분류 직접 대응,-2
기타,2024Q2,1.7495425168448708,80.16083333333333,0,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2024Q2,25.96370999143369,80.875,0,A,lv3,,목재및종이제품,121.213333,-0.999156,True,27.234985988032268,A,대분류 직접 대응,-2
비금속,2024Q2,5.419369990899203,179.545,0,A,lv3,,비금속광물제품,129.673333,1.3865,True,3.9777189180997485,A,대분류 직접 대응,-2
석유화학,2024Q2,-9.047036826957443,901.9691666666664,0,C,lv3,c1,화학제품,125.57,1.353315,True,-10.261481656478077,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2024Q2,-9.047036826957443,901.9691666666664,0,C,lv3,c2,석탄및석유제품,195.876667,8.255039,True,-15.982697883428266,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
