hs6,hs_chapter,chapter_name_ko,hs6_name_ko,target_kicox_industry,mapping_type,mapping_confidence,rationale,nature_major_code,nature_major_name,valid_through,source
721190,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721210,72,제72류 철강,주석을 도금하거나 도포한 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721220,72,제72류 철강,아연을 전해도금하거나 도포한 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721230,72,제72류 철강,그 밖의 다른 방법으로 아연을 도금하거나 도포한 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,,,2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721240,72,제72류 철강,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721250,72,제72류 철강,그 밖의 다른 방법으로 도금하거나 도포한 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721260,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721310,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721320,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721391,72,제72류 철강,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,,,2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721399,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,,,2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721410,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721420,72,제72류 철강,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721430,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721491,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
