wanted_auth_no,company,title,wage,region,cert,education,career,reg_date,due_date,detail_url
K131132609040035,숲속나라어르신집,주간보호 요양보호사,월급216 만원 이상 ~ 216 만원 이하,경남 창원시 의창구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040035
K131132609040032,세무법인세양,세무대리 업무로서 전문성을 발휘하세요 - 세무회계사무원을 모집합니다.,월급216 만원 이상,경남 창원시 의창구,[인증],,신입,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040032
K131132609040031,주식회사 아라온종합건설,경리사무직원을 모집합니다.,월급250 만원 이상,경남 창원시 성산구,[인증],,경력 3년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040031
K131132609040030,디티케이(주),식품제조업체 환경미화원 모집,"시급10,630 원 이상",경남 창원시 성산구,[인증],,관계없음,26-09-04,26-09-22,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040030
K131132609040029,시민주야간센터,시민주야간보호센터 간호사 모집합니다.,월급216 만원 이상 ~ 250 만원 이하,경남 창원시 의창구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040029
K131132609040028,승민테크,머시닝센터(MCT)조작원 모집,"시급14,000 원 이상",경남 창원시 의창구,[인증],,경력 7년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040028
K131132609040027,동림공업주식회사,동림공업(주) 창원 조선사업부 조립팀 자재 채용,월급260 만원 이상 ~ 500 만원 이하,경남 창원시 성산구,[인증],,경력 5년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040027
K131132609040025,창원시립무동별빛어린이집,"임신출산휴가 대체교사 2세담임 1명  ,보조,오후연장담임1명",월급232 만원 이상,경남 창원시 의창구,[인증],,관계없음,26-09-04,26-09-18,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040025
K131132609040024,동림공업주식회사,동림공업(주) 품질팀 경력직 채용,월급260 만원 이상 ~ 500 만원 이하,경남 창원시 성산구,[인증],,경력 5년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040024
K131132609040023,주식회사 동진금속,도금/피막 생산 실무자를 모집합니다.,"시급10,320 원 이상",경남 창원시 성산구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040023
