industry,quarter,cai_observe,cai_check,cai_priority,cai_undetermined,necessary_stage,possible_stages,n_possible,is_discriminating,v1_0_stage,d_stage,run_id,run_started_at,input_sha256,prereg_sha256,prereg_status,prereg_amendment_ids,phase
목재종이,2024Q2,0.7157593123209169,0.028080229226361032,0.25616045845272206,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2024Q3,0.6103151862464183,0.1335243553008596,0.25616045845272206,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2024Q4,0.0,0.0,0.0,1.0,UNDETERMINED,UNDETERMINED,1,False,UNDETERMINED,UNDETERMINED,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2025Q1,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2025Q2,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2025Q3,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2025Q4,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2026Q1,0.3186246418338109,0.47507163323782237,0.20630372492836677,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2026Q2,0.05501432664756447,0.7386819484240688,0.20630372492836677,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2022Q1,0.9759312320916905,0.024068767908309457,0.0,0.0,,OBSERVE|CHECK,2,True,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2022Q2,0.7421203438395415,0.25787965616045844,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2022Q3,0.7404011461318052,0.25959885386819487,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2022Q4,0.740974212034384,0.25902578796561604,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2023Q1,0.7426934097421204,0.25730659025787966,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2023Q2,0.7421203438395415,0.25787965616045844,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2023Q3,0.09742120343839542,0.9025787965616046,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2023Q4,0.0,0.0,0.0,1.0,UNDETERMINED,UNDETERMINED,1,False,UNDETERMINED,UNDETERMINED,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2024Q1,0.14269340974212033,0.8573065902578797,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
비금속,2024Q2,0.7255014326647564,0.01833810888252149,0.25616045845272206,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
